"claim_id","paper","status","claim_wording","value","unit_or_n","ci_or_spread","evidence_label","artifact_path","artifact_sha256","script_path","script_commit","config_path","env_lock_sha256","seed_set","recompute_tier","verify_cmd","superseded_by","last_verified","notes"
"X2A-C001","2","VALID","Composite Spearman rho 0.3812 has a two-level question-cluster bootstrap 95 percent percentile interval [0.1529, 0.6490] (8 questions; B=10000; seed 42); the frozen case-level interval [0.1575, 0.5774] treats answers as independent.","0.3812","64 answers / 8 questions","[0.1529, 0.6490]","PHASE1-X2A","research/analysis/phase1/x2_a/x2a_bootstrap_rho.csv","4371dd8020af3daf3cae0a3edd05c64bfd7e9260c39838183ab13cd069924b16","research/analysis/phase1/x2_a/x2a_analysis.py","3cc4191bb6db123bd87c8de2979b5320f523b6e3","research/analysis/phase1/x2_a/x2a_config.json","NOT_RECORDED","numpy default_rng(42); B=10000","T2","python -B x2a_analysis.py (single run) ; compare x2a_bootstrap_rho.csv","","2026-09-19","SENSITIVITY analysis of the frozen estimand on the old 64-case benchmark (exploratory/initial evidence; not confirmatory). Manifest manifest_X2-A.json; pre-run note X2A_PRERUN_NOTE.md; committed before the run. Only 8 clusters: coarse."
"X2A-C002","2","VALID","Question-only cluster bootstrap (whole questions resampled) 95 percent interval for composite rho [0.3066, 0.5888]; this reproduces the earlier unstored diagnostic (approx [0.30, 0.59], P2-C012).","0.3812","8 questions","[0.3066, 0.5888]","PHASE1-X2A","research/analysis/phase1/x2_a/x2a_bootstrap_rho.csv","4371dd8020af3daf3cae0a3edd05c64bfd7e9260c39838183ab13cd069924b16","research/analysis/phase1/x2_a/x2a_analysis.py","3cc4191bb6db123bd87c8de2979b5320f523b6e3","research/analysis/phase1/x2_a/x2a_config.json","NOT_RECORDED","numpy default_rng(42); B=10000","T2","as X2A-C001","","2026-09-19","SENSITIVITY analysis of the frozen estimand on the old 64-case benchmark (exploratory/initial evidence; not confirmatory). Manifest manifest_X2-A.json; pre-run note X2A_PRERUN_NOTE.md; committed before the run. Narrower than the two-level interval because within-question sampling variability is not resampled."
"X2A-C003","2","VALID","Composite minus R-only Spearman rho = -0.102, two-level 95 percent interval [-0.2849, 0.1174] (includes zero: the data neither establish nor exclude a difference).","-0.102","8 questions","[-0.2849, 0.1174]","PHASE1-X2A","research/analysis/phase1/x2_a/x2a_bootstrap_rho_diff.csv","bc0115f70839162fc0cf007cf3feaef6f56d4177be268c606dbba1f5aaa60519","research/analysis/phase1/x2_a/x2a_analysis.py","3cc4191bb6db123bd87c8de2979b5320f523b6e3","research/analysis/phase1/x2_a/x2a_config.json","NOT_RECORDED","numpy default_rng(42); B=10000","T2","as X2A-C001","","2026-09-19","SENSITIVITY analysis of the frozen estimand on the old 64-case benchmark (exploratory/initial evidence; not confirmatory). Manifest manifest_X2-A.json; pre-run note X2A_PRERUN_NOTE.md; committed before the run."
"X2A-C004","2","VALID","Leave-one-question-out composite rho ranges 0.3517 to 0.4341 across the 8 left-out questions.","0.3517-0.4341","8 leave-outs","","PHASE1-X2A","research/analysis/phase1/x2_a/x2a_loqo.csv","343e362751235efb9413a648bb895bfd7d7d950a01a548f6b087d44c9c8b7f40","research/analysis/phase1/x2_a/x2a_analysis.py","3cc4191bb6db123bd87c8de2979b5320f523b6e3","research/analysis/phase1/x2_a/x2a_config.json","NOT_RECORDED","numpy default_rng(42); B=10000","T2","as X2A-C001","","2026-09-19","SENSITIVITY analysis of the frozen estimand on the old 64-case benchmark (exploratory/initial evidence; not confirmatory). Manifest manifest_X2-A.json; pre-run note X2A_PRERUN_NOTE.md; committed before the run."
"X2A-C005","2","VALID","Rater leave-one-out (gold = mean of the two remaining raters): composite rho 0.3552-0.3815 on all 64 items and 0.4147-0.4618 on the 54 non-adjudicated items; the frozen gold on the 54 non-adjudicated items gives 0.4454 (ten items were adjudicated in the frozen gold).","0.3552-0.3815","3 leave-outs","","PHASE1-X2A","research/analysis/phase1/x2_a/x2a_rater_loo.csv","8ba4db9e11491e718353030b6bc0ee61c80d42d317ae07f4ca046eb57702b3a0","research/analysis/phase1/x2_a/x2a_analysis.py","3cc4191bb6db123bd87c8de2979b5320f523b6e3","research/analysis/phase1/x2_a/x2a_config.json","NOT_RECORDED","numpy default_rng(42); B=10000","T2","as X2A-C001","","2026-09-19","SENSITIVITY analysis of the frozen estimand on the old 64-case benchmark (exploratory/initial evidence; not confirmatory). Manifest manifest_X2-A.json; pre-run note X2A_PRERUN_NOTE.md; committed before the run."
"X2A-C006","2","EXPLORATORY","Composite rho on the pilot-overlap questions (1, 3, 10, 41; n=32) 0.7092 versus the other four questions (n=32) 0.4249; R-only 0.5838 vs 0.449. Point estimates only; not a held-out validation.","0.7092","32 vs 32","","PHASE1-X2A","research/analysis/phase1/x2_a/x2a_overlap.csv","f2ed42a5eb89833e4ab0069b92febde854498c1fa83397deb14b4036c76103a3","research/analysis/phase1/x2_a/x2a_analysis.py","3cc4191bb6db123bd87c8de2979b5320f523b6e3","research/analysis/phase1/x2_a/x2a_config.json","NOT_RECORDED","numpy default_rng(42); B=10000","T2","as X2A-C001","","2026-09-19","DESCRIPTIVE/exploratory (pattern already seen; question difficulty also differs). Reproduces the earlier unstored diagnostic (P2-C012)."
"X2A-C007","2","VALID","Within-question (demeaned) composite rho 0.5796 exceeds the pooled 0.3812; composite bias vs human -0.1338 (Bland-Altman 95 percent limits [-0.7943, 0.5267]); Lin's CCC 0.3297; residual vs answer length Spearman -0.3077.","0.5796","64 answers","","PHASE1-X2A","research/analysis/phase1/x2_a/x2a_agreement.csv","84687dda8b3bc9b064ec35aa6ee0bdd3ef15b5f2a94ebada21be3adf691ca876","research/analysis/phase1/x2_a/x2a_analysis.py","3cc4191bb6db123bd87c8de2979b5320f523b6e3","research/analysis/phase1/x2_a/x2a_config.json","NOT_RECORDED","numpy default_rng(42); B=10000","T2","as X2A-C001","","2026-09-19","DESCRIPTIVE (old benchmark, seen data)."
"X2A-C008","2","EXPLORATORY","Adversarial vs correct-reference AUROC (34 vs 22 answers): composite 0.7206 [0.5836, 0.8926], R-only 0.7821 [0.6477, 0.9279]; composite minus R-only -0.0615 [-0.1676, 0.0659].","0.7206","34 adversarial / 22 correct","","PHASE1-X2A","research/analysis/phase1/x2_a/x2a_auroc.csv","6e4ee07424ba7307ae7e987fda16f661c6d4f38a52fd09721003600810f75537","research/analysis/phase1/x2_a/x2a_analysis.py","3cc4191bb6db123bd87c8de2979b5320f523b6e3","research/analysis/phase1/x2_a/x2a_config.json","NOT_RECORDED","numpy default_rng(42); B=10000","T2","as X2A-C001","","2026-09-19","EXPLORATORY with pre-specified rule; hypothesis-generating for X2-C H3; not evidence that the composite is safer or less safe."
"X2A-C009","2","EXPLORATORY","Composite at the documented grade boundaries (no explicit accept threshold exists): tau=0.60 accepts 2 of 34 adversarial answers and 0.3636 of correct-reference answers; tau=0.75 accepts 0 of 34 adversarial and 0.1364 of correct-reference answers. At the matched accept-rate R-only accepted 0 adversarial answers.","2/34 ; 0/34","34 adversarial answers","","PHASE1-X2A","research/analysis/phase1/x2_a/x2a_false_accept.csv","488a297d6c84d07e075f8cbdb9639a8913aaf2d1b60e610cdd811b4318ae0131","research/analysis/phase1/x2_a/x2a_analysis.py","3cc4191bb6db123bd87c8de2979b5320f523b6e3","research/analysis/phase1/x2_a/x2a_config.json","NOT_RECORDED","numpy default_rng(42); B=10000","T2","as X2A-C001","","2026-09-19","EXPLORATORY (seen data; tau not chosen from results; both grade boundaries reported). Small counts. The composite is not observed to be safer than R-only on this set; H3 of X2-C is at risk."
"P1S-C001","1","VALID","Nine attack programs (SEC-01..09) were executed","","","","PHASE1-STORED","research/analysis/phase1/paper1/p1_claim_survival.csv","11dd17f1b2653ba5dc7e1df0a42e6888d95e944f1b36bf28820e09b472cc3f45","research/analysis/phase1/paper1/p1_stored_analysis.py","3cc4191bb6db123bd87c8de2979b5320f523b6e3","","NOT_RECORDED","","T2","python -B p1_stored_analysis.py (asserts each check)","","2026-09-19","Phase-1A claim survival row S01; evidence class A; basis: paper1_security_results.csv has 9 rows; P0-6 forensic: all nine programs ran (1 static filter + 8 Docker); check: n/a; X1 successor: X1-C."
"P1S-C002","1","WITHDRAWN","9/9 (100%) attack vectors contained","","","","PHASE1-STORED","research/analysis/phase1/paper1/p1_claim_survival.csv","11dd17f1b2653ba5dc7e1df0a42e6888d95e944f1b36bf28820e09b472cc3f45","research/analysis/phase1/paper1/p1_stored_analysis.py","3cc4191bb6db123bd87c8de2979b5320f523b6e3","","NOT_RECORDED","","T2","python -B p1_stored_analysis.py (asserts each check)","","2026-09-19","Phase-1A claim survival row S02; evidence class C; basis: expected_outcome is stored but never compared; host_safe is a hard-coded True; pass = any status in a fixed set; check: 4 of 9 observed_status equal expected_outcome: SEC-01,SEC-03,SEC-04,SEC-05; X1 successor: X1-C."
"P1S-C003","1","VALID","Four outcomes match the intended containment mechanism (SEC-01/03/04/05); five do not discriminate (SEC-02/06/07/08/09)","","","","PHASE1-STORED","research/analysis/phase1/paper1/p1_claim_survival.csv","11dd17f1b2653ba5dc7e1df0a42e6888d95e944f1b36bf28820e09b472cc3f45","research/analysis/phase1/paper1/p1_stored_analysis.py","3cc4191bb6db123bd87c8de2979b5320f523b6e3","","NOT_RECORDED","","T2","python -B p1_stored_analysis.py (asserts each check)","","2026-09-19","Phase-1A claim survival row S03; evidence class A; basis: literal comparison of expected_outcome vs observed_status; agrees with P0-6 audit reading; check: 4 of 9 observed_status equal expected_outcome: SEC-01,SEC-03,SEC-04,SEC-05; X1 successor: X1-C."
"P1S-C004","1","WITHDRAWN","host_safe = True for all attacks","","","","PHASE1-STORED","research/analysis/phase1/paper1/p1_claim_survival.csv","11dd17f1b2653ba5dc7e1df0a42e6888d95e944f1b36bf28820e09b472cc3f45","research/analysis/phase1/paper1/p1_stored_analysis.py","3cc4191bb6db123bd87c8de2979b5320f523b6e3","","NOT_RECORDED","","T2","python -B p1_stored_analysis.py (asserts each check)","","2026-09-19","Phase-1A claim survival row S04; evidence class C; basis: literal True in the script (two lines); no host observable is measured; check: host_safe True in 9/9 rows; 2 literal True assignments in the script; X1 successor: X1-C."
"P1S-C005","1","DESIGN-ONLY","Sandbox launched with non-root/--net=none/--cap-drop=ALL/--read-only/no-new-privileges/memory+PID limits","","","","PHASE1-STORED","research/analysis/phase1/paper1/p1_claim_survival.csv","11dd17f1b2653ba5dc7e1df0a42e6888d95e944f1b36bf28820e09b472cc3f45","research/analysis/phase1/paper1/p1_stored_analysis.py","3cc4191bb6db123bd87c8de2979b5320f523b6e3","","NOT_RECORDED","","T1","python -B p1_stored_analysis.py (asserts each check)","","2026-09-19","Phase-1A claim survival row S05; evidence class CODE; basis: configuration in coding_executor.py; effectiveness not shown by the study; check: n/a; X1 successor: X1-C."
"P1S-C006","1","VALID","Container shares the host kernel (stated limitation)","","","","PHASE1-STORED","research/analysis/phase1/paper1/p1_claim_survival.csv","11dd17f1b2653ba5dc7e1df0a42e6888d95e944f1b36bf28820e09b472cc3f45","research/analysis/phase1/paper1/p1_stored_analysis.py","3cc4191bb6db123bd87c8de2979b5320f523b6e3","","NOT_RECORDED","","T1","python -B p1_stored_analysis.py (asserts each check)","","2026-09-19","Phase-1A claim survival row S06; evidence class CODE; basis: limitation statement; design fact; check: n/a; X1 successor: X1-C."
"P1S-C007","1","WITHDRAWN","10/10 fault scenarios recovered (all PASS)","","","","PHASE1-STORED","research/analysis/phase1/paper1/p1_claim_survival.csv","11dd17f1b2653ba5dc7e1df0a42e6888d95e944f1b36bf28820e09b472cc3f45","research/analysis/phase1/paper1/p1_stored_analysis.py","3cc4191bb6db123bd87c8de2979b5320f523b6e3","","NOT_RECORDED","","T2","python -B p1_stored_analysis.py (asserts each check)","","2026-09-19","Phase-1A claim survival row F01; evidence class C; basis: literal status PASS in static dictionaries; no fault was injected in the study; check: 10/10 PASS from one literal in a loop; 4 asserts in the section (ScoreValidator only); X1 successor: X1-A."
"P1S-C008","1","VALID","FLT-04 ScoreValidator sanitises NaN/Inf/out-of-range","","","","PHASE1-STORED","research/analysis/phase1/paper1/p1_claim_survival.csv","11dd17f1b2653ba5dc7e1df0a42e6888d95e944f1b36bf28820e09b472cc3f45","research/analysis/phase1/paper1/p1_stored_analysis.py","3cc4191bb6db123bd87c8de2979b5320f523b6e3","","NOT_RECORDED","","T1","python -B p1_stored_analysis.py (asserts each check)","","2026-09-19","Phase-1A claim survival row F02; evidence class A; basis: four asserts executed in the study + tests/unit/test_score_validator.py; scoped to the validator; check: n/a; X1 successor: X1-A."
"P1S-C009","1","EXPLORATORY","FLT-03 infrastructure failure is flagged and distinguished from a genuine 0.0","","","","PHASE1-STORED","research/analysis/phase1/paper1/p1_claim_survival.csv","11dd17f1b2653ba5dc7e1df0a42e6888d95e944f1b36bf28820e09b472cc3f45","research/analysis/phase1/paper1/p1_stored_analysis.py","3cc4191bb6db123bd87c8de2979b5320f523b6e3","","NOT_RECORDED","","T1","python -B p1_stored_analysis.py (asserts each check)","","2026-09-19","Phase-1A claim survival row F03; evidence class B; basis: assert executed on the flag; mocked-failure integration tests exist; retry-without-penalty behaviour unverified; check: n/a; X1 successor: X1-A."
"P1S-C010","1","EXPLORATORY","FLT-01 Qwen unreachable -> deterministic feedback and score preserved","","","","PHASE1-STORED","research/analysis/phase1/paper1/p1_claim_survival.csv","11dd17f1b2653ba5dc7e1df0a42e6888d95e944f1b36bf28820e09b472cc3f45","research/analysis/phase1/paper1/p1_stored_analysis.py","3cc4191bb6db123bd87c8de2979b5320f523b6e3","","NOT_RECORDED","","T1","python -B p1_stored_analysis.py (asserts each check)","","2026-09-19","Phase-1A claim survival row F04; evidence class B; basis: mocked unreachable-port unit test exists; not a study measurement; check: n/a; X1 successor: X1-A."
"P1S-C011","1","EXPLORATORY","FLT-05 Docker daemon unreachable -> structured sandbox_error","","","","PHASE1-STORED","research/analysis/phase1/paper1/p1_claim_survival.csv","11dd17f1b2653ba5dc7e1df0a42e6888d95e944f1b36bf28820e09b472cc3f45","research/analysis/phase1/paper1/p1_stored_analysis.py","3cc4191bb6db123bd87c8de2979b5320f523b6e3","","NOT_RECORDED","","T1","python -B p1_stored_analysis.py (asserts each check)","","2026-09-19","Phase-1A claim survival row F05; evidence class B; basis: patched-resolver unit test exists; not a study measurement; check: n/a; X1 successor: X1-A."
"P1S-C012","1","EXPLORATORY","FLT-10 empty payload -> stt_unavailable ungraded turn","","","","PHASE1-STORED","research/analysis/phase1/paper1/p1_claim_survival.csv","11dd17f1b2653ba5dc7e1df0a42e6888d95e944f1b36bf28820e09b472cc3f45","research/analysis/phase1/paper1/p1_stored_analysis.py","3cc4191bb6db123bd87c8de2979b5320f523b6e3","","NOT_RECORDED","","T1","python -B p1_stored_analysis.py (asserts each check)","","2026-09-19","Phase-1A claim survival row F06; evidence class B; basis: unit test for empty transcript exists; user message unverified; check: n/a; X1 successor: X1-A."
"P1S-C013","1","DESIGN-ONLY","FLT-02 Qwen generation timeout > 3000 ms recovers within SLA","","","","PHASE1-STORED","research/analysis/phase1/paper1/p1_claim_survival.csv","11dd17f1b2653ba5dc7e1df0a42e6888d95e944f1b36bf28820e09b472cc3f45","research/analysis/phase1/paper1/p1_stored_analysis.py","3cc4191bb6db123bd87c8de2979b5320f523b6e3","","NOT_RECORDED","","T1","python -B p1_stored_analysis.py (asserts each check)","","2026-09-19","Phase-1A claim survival row F07; evidence class C; basis: no timeout-injection test found (P0-6); design statement only; check: n/a; X1 successor: X1-A."
"P1S-C014","1","DESIGN-ONLY","FLT-06 compiler hang > 10 s is killed and cleaned up","","","","PHASE1-STORED","research/analysis/phase1/paper1/p1_claim_survival.csv","11dd17f1b2653ba5dc7e1df0a42e6888d95e944f1b36bf28820e09b472cc3f45","research/analysis/phase1/paper1/p1_stored_analysis.py","3cc4191bb6db123bd87c8de2979b5320f523b6e3","","NOT_RECORDED","","T1","python -B p1_stored_analysis.py (asserts each check)","","2026-09-19","Phase-1A claim survival row F08; evidence class C; basis: no compiler-hang test found (P0-6); check: n/a; X1 successor: X1-A."
"P1S-C015","1","DESIGN-ONLY","FLT-07 DB lock contention retry serialises writers (30 s busy timeout)","","","","PHASE1-STORED","research/analysis/phase1/paper1/p1_claim_survival.csv","11dd17f1b2653ba5dc7e1df0a42e6888d95e944f1b36bf28820e09b472cc3f45","research/analysis/phase1/paper1/p1_stored_analysis.py","3cc4191bb6db123bd87c8de2979b5320f523b6e3","","NOT_RECORDED","","T1","python -B p1_stored_analysis.py (asserts each check)","","2026-09-19","Phase-1A claim survival row F09; evidence class C; basis: no lock was injected; the retry path was never exercised; the load result is registered separately (K02); check: n/a; X1 successor: X1-A."
"P1S-C016","1","DESIGN-ONLY","FLT-08 abrupt WebSocket reset preserves the turn","","","","PHASE1-STORED","research/analysis/phase1/paper1/p1_claim_survival.csv","11dd17f1b2653ba5dc7e1df0a42e6888d95e944f1b36bf28820e09b472cc3f45","research/analysis/phase1/paper1/p1_stored_analysis.py","3cc4191bb6db123bd87c8de2979b5320f523b6e3","","NOT_RECORDED","","T1","python -B p1_stored_analysis.py (asserts each check)","","2026-09-19","Phase-1A claim survival row F10; evidence class C; basis: no disconnect test found (P0-6); check: n/a; X1 successor: X1-A."
"P1S-C017","1","DESIGN-ONLY","FLT-09 audio-feature crash -> neutral prosody 0.5/0.5","","","","PHASE1-STORED","research/analysis/phase1/paper1/p1_claim_survival.csv","11dd17f1b2653ba5dc7e1df0a42e6888d95e944f1b36bf28820e09b472cc3f45","research/analysis/phase1/paper1/p1_stored_analysis.py","3cc4191bb6db123bd87c8de2979b5320f523b6e3","","NOT_RECORDED","","T1","python -B p1_stored_analysis.py (asserts each check)","","2026-09-19","Phase-1A claim survival row F11; evidence class C; basis: no Parselmouth-crash test found (P0-6); check: n/a; X1 successor: X1-A."
"P1S-C018","1","WITHDRAWN","5/5 Qwen boundary invariants verified / zero authority","","","","PHASE1-STORED","research/analysis/phase1/paper1/p1_claim_survival.csv","11dd17f1b2653ba5dc7e1df0a42e6888d95e944f1b36bf28820e09b472cc3f45","research/analysis/phase1/paper1/p1_stored_analysis.py","3cc4191bb6db123bd87c8de2979b5320f523b6e3","","NOT_RECORDED","","T2","python -B p1_stored_analysis.py (asserts each check)","","2026-09-19","Phase-1A claim survival row Q01; evidence class C; basis: verify_qwen_isolation calls no Qwen and inspects no output; static dictionaries with literal PASS; check: 5 literal PASS lines; no LLM/network call in the section; X1 successor: X1-B."
"P1S-C019","1","WITHDRAWN","QWN-04 FeedbackValidator rejects empty/boilerplate output","","","","PHASE1-STORED","research/analysis/phase1/paper1/p1_claim_survival.csv","11dd17f1b2653ba5dc7e1df0a42e6888d95e944f1b36bf28820e09b472cc3f45","research/analysis/phase1/paper1/p1_stored_analysis.py","3cc4191bb6db123bd87c8de2979b5320f523b6e3","","NOT_RECORDED","","T2","python -B p1_stored_analysis.py (asserts each check)","","2026-09-19","Phase-1A claim survival row Q02; evidence class C; basis: no class or function named FeedbackValidator exists in the source tree (mentioned only in the Paper 1 script text); check: 0 source files outside research/ mention FeedbackValidator; X1 successor: X1-B."
"P1S-C020","1","EXPLORATORY","QWN-01 technical score derived only from SBERT+FAISS+CrossEncoder (no LLM input to evaluate())","","","","PHASE1-STORED","research/analysis/phase1/paper1/p1_claim_survival.csv","11dd17f1b2653ba5dc7e1df0a42e6888d95e944f1b36bf28820e09b472cc3f45","research/analysis/phase1/paper1/p1_stored_analysis.py","3cc4191bb6db123bd87c8de2979b5320f523b6e3","","NOT_RECORDED","","T1","python -B p1_stored_analysis.py (asserts each check)","","2026-09-19","Phase-1A claim survival row Q03; evidence class B; basis: by construction (evaluate() signature) plus one unit test; no adversarial LLM output was run; check: n/a; X1 successor: X1-B."
"P1S-C021","1","DESIGN-ONLY","QWN-02 difficulty cannot be altered by the LLM","","","","PHASE1-STORED","research/analysis/phase1/paper1/p1_claim_survival.csv","11dd17f1b2653ba5dc7e1df0a42e6888d95e944f1b36bf28820e09b472cc3f45","research/analysis/phase1/paper1/p1_stored_analysis.py","3cc4191bb6db123bd87c8de2979b5320f523b6e3","","NOT_RECORDED","","T1","python -B p1_stored_analysis.py (asserts each check)","","2026-09-19","Phase-1A claim survival row Q04; evidence class C; basis: design statement only; no test found; check: n/a; X1 successor: X1-B."
"P1S-C022","1","EXPLORATORY","QWN-03 is_best assigned deterministically in SQL","","","","PHASE1-STORED","research/analysis/phase1/paper1/p1_claim_survival.csv","11dd17f1b2653ba5dc7e1df0a42e6888d95e944f1b36bf28820e09b472cc3f45","research/analysis/phase1/paper1/p1_stored_analysis.py","3cc4191bb6db123bd87c8de2979b5320f523b6e3","","NOT_RECORDED","","T1","python -B p1_stored_analysis.py (asserts each check)","","2026-09-19","Phase-1A claim survival row Q05; evidence class B; basis: persistence tests cover selection/tie-breaking; 'zero DB write access' is a design claim; check: n/a; X1 successor: X1-B."
"P1S-C023","1","EXPLORATORY","QWN-05 offline Qwen -> deterministic fallback; < 50 ms","","","","PHASE1-STORED","research/analysis/phase1/paper1/p1_claim_survival.csv","11dd17f1b2653ba5dc7e1df0a42e6888d95e944f1b36bf28820e09b472cc3f45","research/analysis/phase1/paper1/p1_stored_analysis.py","3cc4191bb6db123bd87c8de2979b5320f523b6e3","","NOT_RECORDED","","T1","python -B p1_stored_analysis.py (asserts each check)","","2026-09-19","Phase-1A claim survival row Q06; evidence class B; basis: offline part has unit tests; the < 50 ms figure and the timeout case are not measured anywhere; check: n/a; X1 successor: X1-B."
"P1S-C024","1","VALID","Evaluator function signature has no audio/prosody parameter","","","","PHASE1-STORED","research/analysis/phase1/paper1/p1_claim_survival.csv","11dd17f1b2653ba5dc7e1df0a42e6888d95e944f1b36bf28820e09b472cc3f45","research/analysis/phase1/paper1/p1_stored_analysis.py","3cc4191bb6db123bd87c8de2979b5320f523b6e3","","NOT_RECORDED","","T2","python -B p1_stored_analysis.py (asserts each check)","","2026-09-19","Phase-1A claim survival row M01; evidence class A; basis: raw JSON evaluator_parameters = [qn candidate rubric]; static signature check only; check: evaluator parameters: qn, candidate, rubric; X1 successor: none."
"P1S-C025","1","WITHDRAWN","Acoustic prosody is 100 percent insulated from technical scoring","","","","PHASE1-STORED","research/analysis/phase1/paper1/p1_claim_survival.csv","11dd17f1b2653ba5dc7e1df0a42e6888d95e944f1b36bf28820e09b472cc3f45","research/analysis/phase1/paper1/p1_stored_analysis.py","3cc4191bb6db123bd87c8de2979b5320f523b6e3","","NOT_RECORDED","","T1","python -B p1_stored_analysis.py (asserts each check)","","2026-09-19","Phase-1A claim survival row M02; evidence class B; basis: only the signature was checked; transcript text (including hedging words) still reaches the evaluator; check: n/a; X1 successor: none."
"P1S-C026","1","VALID","0 lock errors and 0 isolation violations at 1/5/10/25 sessions (synthetic DB operations)","","","","PHASE1-STORED","research/analysis/phase1/paper1/p1_claim_survival.csv","11dd17f1b2653ba5dc7e1df0a42e6888d95e944f1b36bf28820e09b472cc3f45","research/analysis/phase1/paper1/p1_stored_analysis.py","3cc4191bb6db123bd87c8de2979b5320f523b6e3","","NOT_RECORDED","","T2","python -B p1_stored_analysis.py (asserts each check)","","2026-09-19","Phase-1A claim survival row K01; evidence class A; basis: stored values; scope: one machine; synthetic writes/reads only; no evaluator or LLM in the loop; no injected lock; check: lock_errors=0 and isolation_violations=0 at 1/5/10/25; X1 successor: X1-D."
"P1S-C027","1","VALID","Per-operation latency at 25 sessions: mean 419.5 ms / P95 719.1 ms (wall time in a 25-thread pool)","","","","PHASE1-STORED","research/analysis/phase1/paper1/p1_claim_survival.csv","11dd17f1b2653ba5dc7e1df0a42e6888d95e944f1b36bf28820e09b472cc3f45","research/analysis/phase1/paper1/p1_stored_analysis.py","3cc4191bb6db123bd87c8de2979b5320f523b6e3","","NOT_RECORDED","","T2","python -B p1_stored_analysis.py (asserts each check)","","2026-09-19","Phase-1A claim survival row K02; evidence class A; basis: stored values; n=175 operations; check: 25 sessions: mean 419.47 ms, P95 719.124 ms; X1 successor: X1-D."
"P1S-C028","1","VALID","Throughput is flat (47-52 ops/s) across 1-25 sessions and mean latency scales ~linearly (closed-loop saturation)","","","","PHASE1-STORED","research/analysis/phase1/paper1/p1_claim_survival.csv","11dd17f1b2653ba5dc7e1df0a42e6888d95e944f1b36bf28820e09b472cc3f45","research/analysis/phase1/paper1/p1_stored_analysis.py","3cc4191bb6db123bd87c8de2979b5320f523b6e3","","NOT_RECORDED","","T2","python -B p1_stored_analysis.py (asserts each check)","","2026-09-19","Phase-1A claim survival row K03; evidence class DERIVED; basis: recomputed from the four stored rows (Little's law check); DERIVED from stored data; interpretation (serialisation of the writer) is a hypothesis; check: throughput 46.96-51.61 ops/s; Little ratio 0.8-0.851; X1 successor: X1-D."
"P1S-C029","1","WITHDRAWN","SQLite single-file write ceiling is about 150-200 ops/sec (THR-07 limitation text)","","","","PHASE1-STORED","research/analysis/phase1/paper1/p1_claim_survival.csv","11dd17f1b2653ba5dc7e1df0a42e6888d95e944f1b36bf28820e09b472cc3f45","research/analysis/phase1/paper1/p1_stored_analysis.py","3cc4191bb6db123bd87c8de2979b5320f523b6e3","","NOT_RECORDED","","T2","python -B p1_stored_analysis.py (asserts each check)","","2026-09-19","Phase-1A claim survival row K04; evidence class D; basis: no stored measurement supports it; measured throughput in this workload is 47-52 ops/s; check: text '150-200 ops/sec' present in threat CSV; max measured throughput 51.61 ops/s; X1 successor: X1-D."
"P1S-C030","1","EXPLORATORY","lock_errors counter","","","","PHASE1-STORED","research/analysis/phase1/paper1/p1_claim_survival.csv","11dd17f1b2653ba5dc7e1df0a42e6888d95e944f1b36bf28820e09b472cc3f45","research/analysis/phase1/paper1/p1_stored_analysis.py","3cc4191bb6db123bd87c8de2979b5320f523b6e3","","NOT_RECORDED","","T1","python -B p1_stored_analysis.py (asserts each check)","","2026-09-19","Phase-1A claim survival row K05; evidence class A; basis: the counter is incremented only immediately before re-raising OperationalError; a completed run therefore cannot show a non-zero value; 0 means 'no OperationalError propagated'; check: n/a; X1 successor: X1-D."
"P1S-C031","1","VALID","Warm evaluator median 404.6 ms (n=20; single question/answer; one machine)","","","","PHASE1-STORED","research/analysis/phase1/paper1/p1_claim_survival.csv","11dd17f1b2653ba5dc7e1df0a42e6888d95e944f1b36bf28820e09b472cc3f45","research/analysis/phase1/paper1/p1_stored_analysis.py","3cc4191bb6db123bd87c8de2979b5320f523b6e3","","NOT_RECORDED","","T2","python -B p1_stored_analysis.py (asserts each check)","","2026-09-19","Phase-1A claim survival row L01; evidence class A; basis: stored value; scope-limited; check: stored: median 404.564; write P95 20.994; X1 successor: X1-D."
"P1S-C032","1","HISTORICAL","Warm evaluator mean 1960.8 ms","","","","PHASE1-STORED","research/analysis/phase1/paper1/p1_claim_survival.csv","11dd17f1b2653ba5dc7e1df0a42e6888d95e944f1b36bf28820e09b472cc3f45","research/analysis/phase1/paper1/p1_stored_analysis.py","3cc4191bb6db123bd87c8de2979b5320f523b6e3","","NOT_RECORDED","","T2","python -B p1_stored_analysis.py (asserts each check)","","2026-09-19","Phase-1A claim survival row L02; evidence class A; basis: recorded value; contaminated by one cold-start-scale sample (derived 32.4 s); not a warm statistic; check: derived largest sample 32437.1 ms; other-19 mean 356.8 ms; X1 successor: X1-D."
